"EnsemblID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000099860",1495.88917074938,2.77920410111615,0.0850287629795527,32.6854584699118,2.51345569693151e-234,4.31258728479508e-230
"ENSG00000188042",2809.84227353755,-2.02235684948824,0.0633640095974512,-31.9164911175316,1.57677186925933e-223,1.35271258663758e-219
"ENSG00000171223",3562.90862570908,2.13145752428064,0.0695130479022727,30.6626969842729,1.78985928789104e-206,1.02368018872115e-202
"ENSG00000116285",9774.13671666408,-1.47832348921854,0.0491041006731926,-30.1059070210322,4.05520683594069e-199,1.73948097227676e-195
"ENSG00000186185",1385.75516969112,-2.8346799513167,0.0957093227985926,-29.6175949053772,8.86988863426117e-193,3.04379098373306e-189
"ENSG00000188522",1163.96372707766,-2.74365773952279,0.0931919581120859,-29.4409281133773,1.64495989939518e-190,4.70403699230375e-187
"ENSG00000168264",2214.81485723734,-1.94812411199753,0.0666298463111837,-29.238009988784,6.37864775506491e-188,1.56349768830577e-184
"ENSG00000006062",1053.31168314366,-2.94857324885304,0.103143326635676,-28.5871451409359,9.70765406416498e-180,2.08204910541178e-176
"ENSG00000130749",1039.68516942344,-3.45679162229085,0.122757996738508,-28.1594007244538,1.83850334104321e-174,3.50500448062438e-171
"ENSG00000286032",730.798826191968,2.83661786751806,0.106258259392636,26.6955047422379,5.30785613063107e-157,9.10721954893679e-154
"ENSG00000180357",941.686325594905,-2.47333799358964,0.098592268430169,-25.0865309518814,6.97690332750525e-139,1.08827006630305e-135
"ENSG00000189266",1054.34384500753,-2.35560599277347,0.0956269780250892,-24.6332786146963,5.56036568822362e-134,7.95039620654507e-131
"ENSG00000148411",1207.81150199988,-2.23860510224178,0.0909329540822557,-24.6181939741756,8.06670268125052e-134,1.0646806508069e-130
"ENSG00000087586",1776.1977047297,-1.77642050510104,0.0730717550707893,-24.3106314249618,1.5132685362283e-130,1.85461868175751e-127
"ENSG00000137936",2979.30626229468,-1.49444869616769,0.0615436901494533,-24.2827281324626,2.98432577408005e-130,3.41367077544436e-127
"ENSG00000272405",735.791664399039,-2.60198111331521,0.10762033558765,-24.1774112588234,3.84570063416267e-129,4.1240332175602e-126
"ENSG00000107929",2029.66607678442,-1.70687775740788,0.071945949528659,-23.7244454842863,2.01743839879101e-124,2.03618870861507e-121
"ENSG00000067182",1117.93124373628,-2.25055745159852,0.0964835019183967,-23.3258267667563,2.42524340091922e-120,2.311795904054e-117
"ENSG00000131051",5172.82935728114,1.24161017543213,0.0535254321345821,23.1966399133458,4.92303767182128e-119,4.4457621249005e-116
"ENSG00000184678",528.552264539763,2.86702866972237,0.123694796624797,23.1782479777134,7.54721024642286e-119,6.47475167040617e-116
"ENSG00000065526",2461.02045013307,-1.68944460568351,0.07334799590373,-23.0332756180677,2.1639941156494e-117,1.7680862398244e-114
"ENSG00000291050",661.758504523865,2.85383514408661,0.12426277491372,22.9661308148649,1.01672790972709e-116,7.92955339777156e-114
"ENSG00000173218",824.032443406919,-2.41857397820024,0.107272287354953,-22.5461210703695,1.46584330741547e-112,1.09351910733194e-109
"ENSG00000181467",1796.91934850051,-1.74572222412884,0.0776688277790181,-22.4764847629185,7.0506233401949e-112,5.04060813629434e-109
"ENSG00000156030",1021.94893524882,-2.26318467167875,0.101022087849941,-22.4028697074693,3.69025918981048e-111,2.53269868715073e-108
"ENSG00000181222",9243.57534495419,1.28989011680771,0.0578102903663005,22.3124656291232,2.79648554856697e-110,1.84546534778123e-107
"ENSG00000162231",2054.60205889739,1.56886642675576,0.0703660237124227,22.2957948166508,4.05899699045706e-110,2.57941742082453e-107
"ENSG00000102870",940.0910758147,-2.18878062817055,0.0988531243582072,-22.1417445566942,1.25292211370045e-108,7.67772772388299e-106
"ENSG00000065978",38690.7044089425,0.963188189649408,0.0440719373380513,21.8549092194729,6.98099628885433e-106,4.13034256290216e-103
"ENSG00000170779",1271.42070955774,-1.80751745870996,0.0829174546303549,-21.7989983745624,2.37149577937615e-105,1.35633748608453e-102
"ENSG00000198113",1533.97323222068,-1.79720401277931,0.0826270712173844,-21.7507892546624,6.79015717726389e-105,3.75824247895141e-102
"ENSG00000130164",1218.38386233932,-1.85178560179729,0.0854113130883018,-21.6808000584518,3.11419112930675e-104,1.64730820044845e-101
"ENSG00000173530",1356.08987381719,1.61244422538872,0.074374707400582,21.6800076496987,3.16826964767448e-104,1.64730820044845e-101
"ENSG00000176994",834.267911412115,-2.08087856068399,0.0967268763735132,-21.512930415003,1.17821108793887e-102,5.9458076020162e-100
"ENSG00000253276",2914.42138683648,-1.30692353079101,0.0609920048269665,-21.4277844202488,7.36000734291508e-102,3.60808588542105e-99
"ENSG00000143157",1507.60382464056,-1.70901603187763,0.0805571156823924,-21.2149605581171,6.94850091284014e-100,3.31173274062531e-97
"ENSG00000023445",711.74451411852,-2.42531257632122,0.115614611702224,-20.9775610592184,1.05149784396473e-97,4.87610810993157e-95
"ENSG00000149639",3552.2719138257,-1.71857122201598,0.0821414751859954,-20.9220886053552,3.37025968667053e-97,1.52176093957613e-94
"ENSG00000129933",541.521129272127,-2.83623018859057,0.135903039446888,-20.8695125593492,1.01361990872974e-96,4.45940779332945e-94
"ENSG00000107290",1861.43731189347,-1.95483363169409,0.0939009140261145,-20.8180468951605,2.9704838044709e-96,1.27418902792779e-93
"ENSG00000183530",818.09892885273,-2.49252181989176,0.120642723785584,-20.6603576384902,7.8778707364721e-95,3.29679283161923e-92
"ENSG00000115738",1972.08433768864,1.37308050626429,0.0664818310529285,20.6534700461414,9.08537466666548e-95,3.71159186977729e-92
"ENSG00000175592",1739.34076674228,-1.74854922781691,0.085031900366709,-20.5634499555591,5.83342363518402e-94,2.3276716914532e-91
"ENSG00000140948",1195.95283360901,-1.81742829435318,0.0885425887752315,-20.5260352051236,1.26049941387972e-93,4.91537475985187e-91
"ENSG00000162063",670.772140198682,-2.55607695665114,0.126624984417597,-20.1861976007944,1.29452253520634e-90,4.93587059090451e-88
"ENSG00000115568",610.741331907101,-2.438870044748,0.120893749087428,-20.1736654141171,1.66805554934731e-90,6.22184719906547e-88
"ENSG00000107554",826.303925404547,-1.97033904363398,0.0978532996585495,-20.1356423391884,3.59620064077103e-90,1.31284277860318e-87
"ENSG00000204389",4332.49304659597,1.26038649563105,0.0629096207443307,20.0348767123133,2.73515722388107e-89,9.77704742653153e-87
"ENSG00000197971",1314.34495677455,-1.69339208119352,0.0851159472036517,-19.8951211474137,4.48522605551968e-88,1.57056140123687e-85
"ENSG00000117318",3467.37359533411,-1.24911498957529,0.0628157157926428,-19.8853897279252,5.44575349204387e-88,1.86876476832977e-85
"ENSG00000168502",1848.53656535264,-1.75550140885332,0.0887599105466241,-19.7780889823136,4.59787782485946e-87,1.54687034743017e-84
"ENSG00000119681",804.662959079035,-2.01173574749517,0.102344392452973,-19.6565312400438,5.08317056015795e-86,1.67725077829212e-83
"ENSG00000198727",54354.5863547049,1.03045533388805,0.0525721003905429,19.6008020648423,1.52205915754551e-85,4.92745113682376e-83
"ENSG00000172757",13917.1125609673,0.907836158015992,0.0463347415016841,19.5929906716539,1.77453735527937e-85,5.63842813738582e-83
"ENSG00000281181",207573.277253751,1.65920506639732,0.0846892395419995,19.5916869176099,1.82056981412429e-85,5.67951579468083e-83
"ENSG00000126003",519.267533968265,-2.53202436794545,0.129771389947099,-19.5114221168288,8.78051671601431e-85,2.69028760381024e-82
"ENSG00000183309",419.861019749198,-2.74955081320238,0.140928683155315,-19.5102285187192,8.98794468998418e-85,2.70552903492541e-82
"ENSG00000110955",13781.4904064538,0.893717069884709,0.0460898531321742,19.390755429872,9.23702487842553e-84,2.73256677351768e-81
"ENSG00000087087",5341.5705050671,1.34323655785671,0.0692858270776478,19.3868878313506,9.95830082463051e-84,2.89600890761034e-81
"ENSG00000198763",107075.105797826,0.934703307289354,0.0487465803427515,19.174746222549,6.01613025247369e-82,1.72041271453239e-79
"ENSG00000175166",13567.3725397263,0.934494828279476,0.0491271035834578,19.0219809456494,1.12164514937556e-80,3.15494876606325e-78
"ENSG00000124201",1180.51975384054,-1.57964900475659,0.0836539922499455,-18.8831275384543,1.57007642092639e-79,4.34505987584759e-77
"ENSG00000117152",11770.9847310542,-1.09925122581944,0.0583291872696417,-18.8456461897518,3.19045272853346e-79,8.68917268510748e-77
"ENSG00000188636",538.900956728831,-2.27132089386244,0.12072016148489,-18.8147602349482,5.71664871346866e-79,1.53259779102649e-76
"ENSG00000231721",2029.93767850067,1.25681535014645,0.0671568404412052,18.7146289475421,3.76232439492609e-78,9.9313787643295e-76
"ENSG00000163041",8242.50714100745,0.948615539239657,0.0506910405943132,18.7136726355955,3.83045783716999e-78,9.95802963184283e-76
"ENSG00000198804",204363.290768113,0.807191180321898,0.0433438443249694,18.6229715636205,2.0927252064681e-77,5.35925061083279e-75
"ENSG00000182551",5538.10819035387,0.938795634764533,0.0504209858707501,18.61914475792,2.24775211226049e-77,5.67160746208317e-75
"ENSG00000108854",3201.42838420068,-1.32390080803813,0.0711878117712447,-18.5972960131485,3.37928575644347e-77,8.40315724768942e-75
"ENSG00000187134",10461.1181174141,0.933164717132445,0.0501914587254676,18.5921019398257,3.7229796930237e-77,9.12555508184295e-75
"ENSG00000136527",6567.74140188054,0.99609125266129,0.0538013761313378,18.5142337294435,1.58536429666871e-76,3.83122262003404e-74
"ENSG00000105523",236.569708094509,4.87568719272692,0.263484226609642,18.5046644175416,1.89354537854131e-76,4.51242383402942e-74
"ENSG00000087086",54397.1859146297,1.00117718069169,0.0541887837782493,18.475727094904,3.23834915207723e-76,7.61145133580016e-74
"ENSG00000198786",46008.8263740327,0.847396489083576,0.0458688255565813,18.4743445859165,3.32237530721461e-76,7.70342101637679e-74
"ENSG00000123485",1456.95255328904,-1.76297334033773,0.0955629752570145,-18.4482885301158,5.38228119909698e-76,1.23132241085475e-73
"ENSG00000212907",15275.6134394508,0.902686190823174,0.0490930277879646,18.3872584661497,1.66173044937106e-75,3.7515751381985e-73
"ENSG00000198899",80361.5422239899,0.997609850442517,0.0543174181583782,18.3662972995825,2.44535957406024e-75,5.44902332100332e-73
"ENSG00000198840",10897.4312462515,1.05320973541633,0.0573722217771824,18.3574856052585,2.87619614123704e-75,6.32689402453144e-73
"ENSG00000198938",123677.15744847,0.983683894388003,0.0536443252606955,18.3371473050987,4.1817252145954e-75,9.08228370025668e-73
"ENSG00000205542",68040.2649666606,0.907145753399309,0.0498993101941494,18.1795249246886,7.49805099172079e-74,1.60814448644932e-71
"ENSG00000188483",2479.77475340697,1.44905858672502,0.0797727562203518,18.1648303930025,9.80094257920185e-74,2.07610583671538e-71
"ENSG00000185085",324.121616062304,-2.99568269812772,0.165962267613247,-18.0503842301599,7.83438221965826e-73,1.6392967088402e-70
"ENSG00000085662",6896.04614255905,1.06847923398822,0.0593642507116663,17.9986982262751,1.99452033689729e-72,4.12313011331128e-70
"ENSG00000167635",1225.8316385273,-1.90934052249507,0.106239697666294,-17.9720063633128,3.22825324368746e-72,6.59409156609399e-70
"ENSG00000172432",551.920522486235,-2.34944623872842,0.130847475548921,-17.9556099869119,4.33789728334777e-72,8.75642842208011e-70
"ENSG00000148296",890.665441109222,-1.84914543189323,0.103045696111505,-17.9449069846866,5.2598578642428e-72,1.04940280505439e-69
"ENSG00000234127",685.024263504341,-1.83731801413075,0.102557098029664,-17.9150741336237,8.99492384516759e-72,1.77396440615386e-69
"ENSG00000286140",549.033077283083,-2.50893744254273,0.140255016621987,-17.8883971708818,1.45225899804169e-71,2.83157498731811e-69
"ENSG00000165527",4641.95981756601,-1.07442534387358,0.0603288597065983,-17.8094754168885,5.96664001832744e-71,1.15028774645463e-68
"ENSG00000137331",919.120562856017,1.87905503042339,0.105822964679679,17.7565903214978,1.53267051220519e-70,2.92195118315741e-68
"ENSG00000185033",605.80692149918,-2.37646312813109,0.133850089690551,-17.7546622017607,1.58622112089301e-70,2.9908112079431e-68
"ENSG00000088888",2833.06524235276,-1.30893824369311,0.0738551647760804,-17.72304276433,2.78436102707138e-70,5.19283331548812e-68
"ENSG00000196205",1897.98673165466,1.16122394657515,0.0655791535318308,17.7072115761834,3.68900941853846e-70,6.80602404336375e-68
"ENSG00000188163",204.600640580704,5.38957746321034,0.305044635461343,17.6681601204337,7.37637107228797e-70,1.34642313679061e-67
"ENSG00000271303",1469.50980575164,-1.37313494042752,0.0778764514442905,-17.6322227703172,1.39378216240517e-69,2.51731729921557e-67
"ENSG00000174748",14653.0379015512,0.763650544387177,0.0434107880298072,17.5912619661,2.8740528328132e-69,5.13677067764676e-67
"ENSG00000196262",26599.8618768456,0.861691692951646,0.049109827957347,17.5462168936948,6.35763144843265e-69,1.12457979785781e-66
"ENSG00000130066",1429.46680458493,1.3647887180539,0.077944439461961,17.5097637172688,1.20693985889344e-68,2.11313001009119e-66
"ENSG00000120738",4812.79022221145,1.26591151874224,0.0723430664263413,17.4987262950925,1.46508954361724e-68,2.5391925645843e-66
"ENSG00000134308",19151.8768512278,0.710445678987604,0.0406118153743471,17.4935710811973,1.60384762087183e-68,2.75188174789188e-66
"ENSG00000101945",592.610480131582,-2.03448887019105,0.116334046857158,-17.4883357465344,1.75817069620887e-68,2.98680126787641e-66
"ENSG00000196584",814.086910927922,-1.87012196289705,0.106954964027937,-17.4851347938238,1.85972750859567e-68,3.12835339142006e-66
"ENSG00000167548",2930.58661785699,-1.2975843193754,0.074343117878147,-17.4539938115351,3.20983796956443e-68,5.34702911473655e-66
"ENSG00000108298",19921.2172419729,0.844671704691973,0.0485204321020633,17.408577543481,7.10268566378696e-68,1.17180654441593e-65
