pathway,pval,padj,log2err,ES,NES,size,collection
REACTOME_KEAP1_NFE2L2_PATHWAY,3.4674252644862803e-7,1.8091695550972457e-6,0.674962860011025,0.5275196394169396,2.044780068580622,107,C2-CP-Reactome
REACTOME_KERATAN_SULFATE_BIOSYNTHESIS,0.175704989154013,0.2609659647169485,0.15419096658142434,-0.439702656895965,-1.2422010804478165,19,C2-CP-Reactome
REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM,0.8618181818181818,0.8722205877160981,0.048118399265797474,0.24590249870505726,0.7269767157276251,26,C2-CP-Reactome
REACTOME_KERATINIZATION,0.047186932849364795,0.08848648301547551,0.28201335001172506,0.49673670911371587,1.4847512725224958,27,C2-CP-Reactome
REACTOME_KIDNEY_DEVELOPMENT,0.4078091106290672,0.49329223808612754,0.09497515259055948,-0.3639231250065068,-1.0281168239335627,19,C2-CP-Reactome
REACTOME_KINESINS,0.6085972850678733,0.6590118650352244,0.07530937641727728,-0.2630694606009924,-0.9132408234038731,47,C2-CP-Reactome
REACTOME_KSRP_KHSRP_BINDS_AND_DESTABILIZES_MRNA,0.7483731019522777,0.779601155056764,0.06293946920189672,-0.29150702306014115,-0.8027488390798134,17,C2-CP-Reactome
REACTOME_L1CAM_INTERACTIONS,3.100505582493059e-7,1.6432679587213212e-6,0.674962860011025,0.5577340652331937,2.072963440364435,84,C2-CP-Reactome
REACTOME_LAGGING_STRAND_SYNTHESIS,0.16789667896678967,0.2527234016734786,0.1446305280344838,0.4609317038963286,1.2772770614460416,20,C2-CP-Reactome
REACTOME_LAMININ_INTERACTIONS,0.00296699229706247,0.0077004155751080085,0.4317076958033464,0.622062216460757,1.7310858509910405,21,C2-CP-Reactome
REACTOME_LATE_ENDOSOMAL_MICROAUTOPHAGY,0.018802419830355344,0.039119910680098825,0.35248785758361917,0.529707672606864,1.61249975680319,29,C2-CP-Reactome
REACTOME_LATE_SARS_COV_2_INFECTION_EVENTS,2.816663054475676e-4,8.947570018476358e-4,0.49849310876659025,0.5145945269317349,1.8259833374110248,62,C2-CP-Reactome
REACTOME_LDL_CLEARANCE,0.074487895716946,0.1304509756295037,0.22496609354031374,0.5579554182099371,1.4500891908799467,16,C2-CP-Reactome
REACTOME_LEISHMANIA_INFECTION,1.253548965561885e-4,4.235985933962477e-4,0.5188480777437918,0.4475768060551034,1.7549240689845553,120,C2-CP-Reactome
REACTOME_LISTERIA_MONOCYTOGENES_ENTRY_INTO_HOST_CELLS,0.1367837338262477,0.2165074056378404,0.1619789488834018,0.5041362648443013,1.340417812628738,17,C2-CP-Reactome
REACTOME_LYSOSOME_VESICLE_BIOGENESIS,8.120878723813624e-5,2.8896554328199006e-4,0.5384340963099162,0.6463618526157149,2.0208113127943452,32,C2-CP-Reactome
REACTOME_MAP2K_AND_MAPK_ACTIVATION,0.0011773170609585715,0.0033208915416954666,0.45505986738722953,0.5967075113088975,1.8503315275685552,31,C2-CP-Reactome
REACTOME_MAP3K8_TPL2_DEPENDENT_MAPK1_3_ACTIVATION,0.30353817504655495,0.3985175257782018,0.1035763266125924,0.4312446517356449,1.1207762980650062,16,C2-CP-Reactome
REACTOME_MAPK1_MAPK3_SIGNALING,3.4486891664772992e-6,1.5573228657590317e-5,0.6272567397185284,0.42251557751451674,1.7739363114760223,204,C2-CP-Reactome
REACTOME_MAPK6_MAPK4_SIGNALING,2.58941510516204e-9,2.053181898345019e-8,0.7749390301364363,0.6384382048177961,2.299277201500946,70,C2-CP-Reactome
REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,1.4609143521425042e-5,5.791892726801188e-5,0.5933254763964051,0.3922777660869977,1.6709515536447515,237,C2-CP-Reactome
REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES,0.38530066815144765,0.4772420329993946,0.09992769737310925,-0.3296095744930734,-1.047753575726479,29,C2-CP-Reactome
REACTOME_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT,1.7056821254914084e-5,6.735772158313131e-5,0.5756102610711286,0.5031491430420536,1.9132872520505035,95,C2-CP-Reactome
REACTOME_MATURATION_OF_DENV_PROTEINS,8.896809526532313e-11,9.56058339187143e-10,0.8390889356212738,0.7443458129752701,2.4924404291677797,46,C2-CP-Reactome
REACTOME_MATURATION_OF_SARS_COV_2_SPIKE_PROTEIN,0.0021688006718271636,0.005808463501409452,0.4317076958033464,0.5571205787379683,1.7807323559775325,36,C2-CP-Reactome
REACTOME_MATURATION_OF_TCA_ENZYMES_AND_REGULATION_OF_TCA_CYCLE,0.008858206052403991,0.019476448678538906,0.3807304007227924,0.5950215401254533,1.6488502696691818,20,C2-CP-Reactome
